[3](1.70263e+06,126416,6.76921e+06)	[3](-5734.53,-4667.07,1528.12)
[3](1.70257e+06,126369,6.76922e+06)	[3](-5734.55,-4667.08,1528.04)
[3](1.70252e+06,126322,6.76924e+06)	[3](-5734.57,-4667.08,1527.96)
[3](1.70246e+06,126276,6.76925e+06)	[3](-5734.59,-4667.08,1527.89)
[3](1.7024e+06,126229,6.76927e+06)	[3](-5734.61,-4667.08,1527.81)
[3](1.70234e+06,126182,6.76928e+06)	[3](-5734.63,-4667.08,1527.73)
[3](1.70229e+06,126136,6.7693e+06)	[3](-5734.65,-4667.08,1527.65)
[3](1.70223e+06,126089,6.76931e+06)	[3](-5734.67,-4667.08,1527.57)
[3](1.70217e+06,126042,6.76933e+06)	[3](-5734.69,-4667.09,1527.49)
[3](1.70212e+06,125996,6.76935e+06)	[3](-5734.71,-4667.09,1527.41)
[3](1.70206e+06,125949,6.76936e+06)	[3](-5734.73,-4667.09,1527.33)
[3](1.702e+06,125902,6.76938e+06)	[3](-5734.75,-4667.09,1527.25)
[3](1.70194e+06,125856,6.76939e+06)	[3](-5734.77,-4667.09,1527.17)
[3](1.70189e+06,125809,6.76941e+06)	[3](-5734.79,-4667.09,1527.09)
[3](1.70183e+06,125762,6.76942e+06)	[3](-5734.81,-4667.09,1527.01)
[3](1.70177e+06,125716,6.76944e+06)	[3](-5734.83,-4667.1,1526.94)
[3](1.70171e+06,125669,6.76945e+06)	[3](-5734.85,-4667.1,1526.86)
[3](1.70166e+06,125622,6.76947e+06)	[3](-5734.87,-4667.1,1526.78)
[3](1.7016e+06,125576,6.76948e+06)	[3](-5734.89,-4667.1,1526.7)
[3](1.70154e+06,125529,6.7695e+06)	[3](-5734.91,-4667.1,1526.62)
[3](1.70148e+06,125482,6.76951e+06)	[3](-5734.93,-4667.1,1526.54)
[3](1.70143e+06,125436,6.76953e+06)	[3](-5734.95,-4667.1,1526.46)
[3](1.70137e+06,125389,6.76954e+06)	[3](-5734.97,-4667.11,1526.38)
[3](1.70131e+06,125342,6.76956e+06)	[3](-5734.99,-4667.11,1526.3)
[3](1.70126e+06,125296,6.76957e+06)	[3](-5735.01,-4667.11,1526.22)
[3](1.7012e+06,125249,6.76959e+06)	[3](-5735.03,-4667.11,1526.14)
[3](1.70114e+06,125202,6.7696e+06)	[3](-5735.05,-4667.11,1526.06)
[3](1.70108e+06,125156,6.76962e+06)	[3](-5735.07,-4667.11,1525.98)
[3](1.70103e+06,125109,6.76964e+06)	[3](-5735.09,-4667.12,1525.91)
[3](1.70097e+06,125062,6.76965e+06)	[3](-5735.11,-4667.12,1525.83)
[3](1.70091e+06,125016,6.76967e+06)	[3](-5735.13,-4667.12,1525.75)
[3](1.70085e+06,124969,6.76968e+06)	[3](-5735.15,-4667.12,1525.67)
[3](1.7008e+06,124922,6.7697e+06)	[3](-5735.17,-4667.12,1525.59)
[3](1.70074e+06,124876,6.76971e+06)	[3](-5735.19,-4667.12,1525.51)
[3](1.70068e+06,124829,6.76973e+06)	[3](-5735.21,-4667.12,1525.43)
[3](1.70062e+06,124782,6.76974e+06)	[3](-5735.23,-4667.13,1525.35)
[3](1.70057e+06,124736,6.76976e+06)	[3](-5735.25,-4667.13,1525.27)
[3](1.70051e+06,124689,6.76977e+06)	[3](-5735.27,-4667.13,1525.19)
[3](1.70045e+06,124642,6.76979e+06)	[3](-5735.29,-4667.13,1525.11)
[3](1.70039e+06,124596,6.7698e+06)	[3](-5735.31,-4667.13,1525.03)
[3](1.70034e+06,124549,6.76982e+06)	[3](-5735.33,-4667.13,1524.96)
[3](1.70028e+06,124502,6.76983e+06)	[3](-5735.35,-4667.13,1524.88)
[3](1.70022e+06,124456,6.76985e+06)	[3](-5735.37,-4667.14,1524.8)
[3](1.70017e+06,124409,6.76986e+06)	[3](-5735.39,-4667.14,1524.72)
[3](1.70011e+06,124362,6.76988e+06)	[3](-5735.41,-4667.14,1524.64)
[3](1.70005e+06,124316,6.76989e+06)	[3](-5735.43,-4667.14,1524.56)
[3](1.69999e+06,124269,6.76991e+06)	[3](-5735.45,-4667.14,1524.48)
[3](1.69994e+06,124222,6.76992e+06)	[3](-5735.47,-4667.14,1524.4)
[3](1.69988e+06,124176,6.76994e+06)	[3](-5735.49,-4667.14,1524.32)
[3](1.69982e+06,124129,6.76996e+06)	[3](-5735.51,-4667.15,1524.24)
[3](1.69976e+06,124082,6.76997e+06)	[3](-5735.53,-4667.15,1524.16)
[3](1.69971e+06,124036,6.76999e+06)	[3](-5735.55,-4667.15,1524.08)
[3](1.69965e+06,123989,6.77e+06)	[3](-5735.57,-4667.15,1524.01)
[3](1.69959e+06,123942,6.77002e+06)	[3](-5735.59,-4667.15,1523.93)
[3](1.69953e+06,123896,6.77003e+06)	[3](-5735.61,-4667.15,1523.85)
[3](1.69948e+06,123849,6.77005e+06)	[3](-5735.63,-4667.15,1523.77)
[3](1.69942e+06,123802,6.77006e+06)	[3](-5735.65,-4667.16,1523.69)
[3](1.69936e+06,123755,6.77008e+06)	[3](-5735.67,-4667.16,1523.61)
[3](1.69931e+06,123709,6.77009e+06)	[3](-5735.69,-4667.16,1523.53)
[3](1.69925e+06,123662,6.77011e+06)	[3](-5735.7,-4667.16,1523.45)
[3](1.69919e+06,123615,6.77012e+06)	[3](-5735.72,-4667.16,1523.37)
[3](1.69913e+06,123569,6.77014e+06)	[3](-5735.74,-4667.16,1523.29)
[3](1.69908e+06,123522,6.77015e+06)	[3](-5735.76,-4667.16,1523.21)
[3](1.69902e+06,123475,6.77017e+06)	[3](-5735.78,-4667.17,1523.13)
[3](1.69896e+06,123429,6.77018e+06)	[3](-5735.8,-4667.17,1523.05)
[3](1.6989e+06,123382,6.7702e+06)	[3](-5735.82,-4667.17,1522.98)
[3](1.69885e+06,123335,6.77021e+06)	[3](-5735.84,-4667.17,1522.9)
[3](1.69879e+06,123289,6.77023e+06)	[3](-5735.86,-4667.17,1522.82)
[3](1.69873e+06,123242,6.77024e+06)	[3](-5735.88,-4667.17,1522.74)
[3](1.69867e+06,123195,6.77026e+06)	[3](-5735.9,-4667.17,1522.66)
[3](1.69862e+06,123149,6.77028e+06)	[3](-5735.92,-4667.18,1522.58)
[3](1.69856e+06,123102,6.77029e+06)	[3](-5735.94,-4667.18,1522.5)
[3](1.6985e+06,123055,6.77031e+06)	[3](-5735.96,-4667.18,1522.42)
[3](1.69844e+06,123009,6.77032e+06)	[3](-5735.98,-4667.18,1522.34)
[3](1.69839e+06,122962,6.77034e+06)	[3](-5736,-4667.18,1522.26)
[3](1.69833e+06,122915,6.77035e+06)	[3](-5736.02,-4667.18,1522.18)
[3](1.69827e+06,122869,6.77037e+06)	[3](-5736.04,-4667.18,1522.1)
[3](1.69822e+06,122822,6.77038e+06)	[3](-5736.06,-4667.19,1522.03)
